# WhiteNoise	RandomWalk	GaussMarkov1	GaussMarkov2
-0.06070011	-0.06070011	-0.06070011	-0.06070011
-0.05789338	-0.11859349	-0.11856314	-0.11847221
0.84937647	0.73078298	0.73087259	0.73114097
-0.86256127	-0.13177828	-0.13205402	-0.13288112
0.18160979	0.04983151	0.04962178	0.04899417
0.01486893	0.06470044	0.06446591	0.06376521
-0.82415348	-0.75945304	-0.75971980	-0.76051567
-0.25727770	-1.01673074	-1.01661773	-1.01627386
0.86434663	-0.15238411	-0.15176292	-0.14989671
-1.02175088	-1.17413498	-1.17343793	-1.17134809
-0.78425350	-1.95838849	-1.95710486	-1.95326124
-0.71733672	-2.67572521	-2.67346328	-2.66669535
-1.20476957	-3.88049478	-3.87689645	-3.86613686
-0.45064410	-4.33113888	-4.32560259	-4.30905641
0.24137271	-4.08976618	-4.08206762	-4.05907420
1.80489117	-2.28487501	-2.27513593	-2.24607300
1.77384416	-0.51103085	-0.50015448	-0.46774118
-0.96024613	-1.47127698	-1.46015060	-1.42705277
-1.08501512	-2.55629210	-2.54443583	-2.50921663
1.01129433	-1.54499777	-1.53186960	-1.49290889
-0.45183213	-1.99682990	-1.98293598	-1.94175818
-2.70863814	-4.70546804	-4.69058291	-4.64651669
2.73560004	-1.96986800	-1.95263816	-1.90163290
2.36670024	0.39683224	0.41503815	0.46886680
-1.76792735	-1.37109511	-1.35309666	-1.29999734
0.88878397	-0.48231115	-0.46363632	-0.40861598
1.41459100	0.93227985	0.95118644	1.00679143
-0.71436040	0.21791945	0.23635056	0.29041946
1.27558664	1.49350609	1.51181906	1.56542584
0.40001361	1.89351970	1.91107695	1.96231173
-0.12146352	1.77205618	1.78865813	1.83692751
0.61612185	2.38817803	2.40388587	2.44937918
-0.40877626	1.97940177	1.99390797	2.03570905
-0.01127450	1.96812727	1.98163676	2.02036720
0.61339281	2.58152008	2.59403900	2.62972331
0.26961254	2.85113261	2.86235484	2.89408166
-1.95365301	0.89747960	0.90727101	0.93464626
1.76840032	2.66587992	2.67521781	2.70117916
-0.98907581	1.67680411	1.68480473	1.70670639
-0.34730090	1.32950322	1.33666164	1.35599550
-0.88277307	0.44673014	0.45322040	0.47051314
-0.95091473	-0.50418458	-0.49792088	-0.48134167
-1.02494166	-1.52912625	-1.52261365	-1.50532161
-1.87524146	-3.40436770	-3.39709399	-3.37755543
0.45638353	-2.94798417	-2.93901233	-2.91442354
0.45195459	-2.49602958	-2.48558860	-2.45664593
0.74755994	-1.74846964	-1.73678618	-1.70417761
-0.31685872	-2.06532837	-2.05277673	-2.01763138
0.27453814	-1.79079023	-1.77721246	-1.73906202
-0.03943110	-1.83022132	-1.81575517	-1.77501846
0.64179088	-1.18843044	-1.17305664	-1.12968109
0.11483443	-1.07359601	-1.05763582	-1.01258955
-1.44881902	-2.52241502	-2.50592615	-2.45938542
-1.68896145	-4.21137647	-4.19363495	-4.14343301
0.32185889	-3.88951758	-3.86967977	-3.81329553
0.08519659	-3.80432099	-3.78254882	-3.72047997
0.21003156	-3.59428943	-3.57062646	-3.50301489
1.08460749	-2.50968195	-2.48423411	-2.41140838
0.29570320	-2.21397875	-2.18728910	-2.11088718
-0.12262336	-2.33660211	-2.30881909	-2.22929299
-1.07391550	-3.41051761	-3.38158047	-3.29875436
-0.13387228	-3.54438989	-3.51376238	-3.42603572
-1.63547339	-5.17986328	-5.14747933	-5.05466389
0.80455792	-4.37530537	-4.34034832	-4.24000675
0.76189693	-3.61340844	-3.57628176	-3.46963828
1.11983828	-2.49357016	-2.45465579	-2.34286766
-0.43730310	-2.93087326	-2.89073187	-2.77548971
1.69745926	-1.23341400	-1.19182760	-1.07248501
-0.77138942	-2.00480342	-1.96262125	-1.84173161
0.89291297	-1.11189045	-1.06872722	-0.94513886
-1.56906413	-2.68095458	-2.63725713	-2.51231460
-0.58459055	-3.26554513	-3.22052938	-3.09188554
-0.64380023	-3.90934536	-3.86271975	-3.72950818
2.40283863	-1.50650673	-1.45795024	-1.31921799
-0.98685789	-2.49336462	-2.44407934	-2.30344008
0.54913935	-1.94422528	-1.89371825	-1.74969846
0.64527554	-1.29894973	-1.24749609	-1.10092701
-0.88309289	-2.18204262	-2.12996538	-1.98182025
-0.75370038	-2.93574300	-2.88260105	-2.73156095
-0.31294460	-3.24868760	-3.19410471	-3.03904788
-1.66083305	-4.90952065	-4.85334110	-4.69380891
0.36714161	-4.54237904	-4.48377343	-4.31728907
0.28626066	-4.25611838	-4.19527144	-4.02240246
0.79743537	-3.45868300	-3.39573896	-3.21693032
0.26748707	-3.19119594	-3.12655444	-2.94301582
1.22862866	-1.96256727	-1.89636289	-1.70850700
0.87777072	-1.08479655	-1.01764422	-0.82732268
-0.22803434	-1.31283089	-1.24516987	-1.05370403
-0.40458425	-1.71741513	-1.64913168	-1.45618297
1.11156991	-0.60584522	-0.53673742	-0.34170361
0.97696449	0.37111926	0.44049537	0.63594360
-0.02095697	0.35016229	0.41931821	0.61371602
1.95764837	2.30781066	2.37675697	2.57013818
0.22783631	2.53564697	2.60340520	2.79283935
