# WhiteNoise	RandomWalk	GaussMarkov1	GaussMarkov2
-0.01173755	-0.01173755	-0.01173755	-0.01173755
-0.87858588	-0.89032343	-0.89031756	-0.89029998
0.93318010	0.04285667	0.04330758	0.04465894
1.08972243	1.13257909	1.13300836	1.13429214
-0.63241068	0.50016841	0.50003131	0.49961514
0.99389430	1.49406271	1.49367566	1.49251121
-1.98511226	-0.49104955	-0.49218325	-0.49558309
-0.72402214	-1.21507169	-1.21595936	-1.21861506
-0.24020387	-1.45527556	-1.45555540	-1.45638413
0.80002237	-0.65525319	-0.65480543	-0.65345190
-0.42719201	-1.08244520	-1.08167012	-1.07933832
-0.23228360	-1.31472879	-1.31341302	-1.30946539
-0.21762362	-1.53235241	-1.53038009	-1.52447270
-2.27145973	-3.80381214	-3.80107482	-3.79288653
-0.73317948	-4.53699162	-4.53235424	-4.51848782
1.80418794	-2.73280368	-2.72590070	-2.70527194
1.65134550	-1.08145818	-1.07319259	-1.04852130
0.43292330	-0.64853488	-0.63973282	-0.61350305
-0.27366652	-0.92220140	-0.91307956	-0.88594379
1.39217516	0.46997375	0.47955203	0.50800148
-0.32816318	0.14181058	0.15114913	0.17882332
0.82956753	0.97137811	0.98064111	1.00803356
-0.42405584	0.54732227	0.55609507	0.58196367
1.98282307	2.53014534	2.53864017	2.56362398
0.87396513	3.40411047	3.41133630	3.43246699
0.29765622	3.70176669	3.70728727	3.72326513
0.01144879	3.71321547	3.71688287	3.72727482
-0.17500256	3.53821291	3.54002233	3.54482516
-0.21769460	3.32051831	3.32055816	3.32004799
0.10450005	3.42501835	3.42339834	3.41791458
-0.20442063	3.22059772	3.21726644	3.20666495
0.88670593	4.10730365	4.10236414	4.08696396
0.91262050	5.01992415	5.01293397	4.99141869
0.19931189	5.21923603	5.20974001	5.18075772
1.30921213	6.52844816	6.51634792	6.47961869
-2.00743514	4.52101302	4.50565542	4.45923726
-1.03502145	3.48599157	3.46838170	3.41530624
2.41880443	5.90479600	5.88545238	5.82728689
0.84576151	6.75055751	6.72827189	6.66140547
-1.43617309	5.31438442	5.28873551	5.21192288
0.45108635	5.76547077	5.73717815	5.65259581
-0.70088574	5.06458503	5.03342454	4.94041617
2.52366106	7.58824609	7.55456952	7.45420627
0.29191293	7.88015902	7.84270611	7.73122569
0.56995037	8.45010939	8.40873611	8.28572906
0.26867480	8.71878419	8.67320759	8.53784897
0.62411208	9.34289628	9.29298416	9.14490242
-1.30285645	8.04003982	7.98548237	7.82377444
-1.36474621	6.67529361	6.61674442	6.44339631
1.33742131	8.01271492	7.95085818	7.76794371
-0.98123975	7.03147517	6.96564399	6.77118359
0.63297758	7.66445275	7.59513963	7.39063234
0.89085590	8.55530865	8.48219890	8.26672175
-0.62677758	7.92853107	7.85118128	7.62342724
-0.63493865	7.29359241	7.21231802	6.97325697
2.21606517	9.50965758	9.42477793	9.17538956
-0.09884198	9.41081560	9.32122473	9.05821514
0.26491569	9.67573129	9.58148098	9.30503251
-0.02839377	9.64733753	9.54829767	9.25804727
1.54330182	11.19063935	11.08682653	10.78285150
0.25168373	11.44232307	11.33296823	11.01299108
1.66430307	13.10662614	12.99160624	12.65529018
